Host,Model Id,Instance,Tensor parallelism degree,quantization,generated_tokens per request,Do Sample,Number of requests,Virtual Users,Thorughput (tokens/second),Latency (ms/token) avg,Latency (ms/token) min,Latency (ms/token) med,Latency (ms/token) max,Latency (ms/token) p(90),Latency (ms/token) p(95),Latency Request ms p(90),Latency Request ms p(95),Latency Request ms avg,Latency Request ms min,Latency Request ms med,Latency Request ms max,Latency Infernece ms med,Latency Infernece ms max,Latency Infernece ms p(90),Latency Infernece ms p(95),Latency Infernece ms avg,Latency Infernece ms min,Queue time ms med,Queue time ms max,Queue time ms p(90),Queue time ms p(95),Queue time ms avg,Queue time ms min
sagemaker,meta-llama/Llama-2-13b-hf,ml.g5.48xlarge,8,none,50,True,349,20,195.13379788568713,130.34982340114615,62.247153,103.09154,2164.227926,132.9578016,138.2306778,6773.6816936,6932.0153066,5124.688858799427,831.265894,5203.261377999999,10244.253902,5135.25356,6950.199401,6438.0160102,6749.311722,4878.471695031519,710.865414,120.782776,4503.411885,411.67158,456.8493702,244.95120412320912,0.030521
sagemaker,TheBloke/Llama-2-70B-GPTQ,ml.g5.48xlarge,8,gptq,50,True,56,5,30.51629574757068,262.0008263214286,97.981905,151.516079,3764.56025,251.8815385,493.69637650000004,11718.310698,18525.324386499997,8192.344250035714,1743.8446059999999,7272.1684795,18549.685586,7085.9543345,18549.27705,10137.0727,12594.07419875,7517.853070821428,1723.657766,30.0525415,5946.570074,2215.9110689999998,5930.7327335,673.5984833392857,0.085313
sagemaker,TheBloke/Llama-2-13B-GPTQ,ml.g5.2xlarge,1,gptq,50,True,218,20,127.29601570957918,169.48634483027521,89.557095,135.4301335,2310.901393,233.4618369,242.1411941999987,10484.202416299999,15964.908171949999,7855.705415646789,1056.614058,7122.636137,16011.390204000001,6391.4710235,16011.01327,8686.265064300002,11673.1359055,6868.496654995413,532.634164,465.425177,5572.177204,4025.2261999999996,4290.005755,985.6171873669725,0.059461
sagemaker,meta-llama/Llama-2-7b-hf,ml.p4d.24xlarge,8,none,50,True,259,5,149.2002724662508,36.25556326640927,22.299721,33.902706,219.062775,37.7328714,39.807006,1960.9705498,2044.9993607000001,1675.6001572084945,226.516514,1767.791246,2513.3603359999997,1612.929649,2112.761121,1867.1895668,1893.1991847,1596.956915830116,219.062775,14.009318,670.991451,255.0753190000001,283.2092325,77.50567547876447,0.026091
sagemaker,TheBloke/Llama-2-70B-GPTQ,ml.p4d.24xlarge,8,gptq,50,True,21,1,12.443744622405099,127.26652052380953,62.861489,67.990963,1026.358532,170.171392,178.088255,5022.7602640000005,8508.896909000001,4018.083102571428,2053.5152559999997,3366.98422,8905.026365,3366.6187710000004,8904.412777,5022.194493,8508.569606,4017.363691619048,2052.717064,0.038360000000000005,0.078918,0.06174,0.062971,0.043622095238095,0.032784
sagemaker,meta-llama/Llama-2-70b-hf,ml.p4d.24xlarge,8,none,50,True,540,20,321.536915821207,87.74883009444444,45.081199,59.798591,1663.425428,82.6858265,140.0391770999996,4005.7762814000002,4317.26172835,3110.0627977537033,54.437705,3105.0073574999997,5701.466906000001,2945.512993,4262.622127000001,3938.568825800001,4025.60545815,2913.104269325926,45.081199,28.4752015,2145.90231,570.3001281000003,766.3996485999999,195.89527989814817,0.053110000000000004
sagemaker,meta-llama/Llama-2-7b-hf,ml.g5.2xlarge,1,none,50,True,214,5,131.29113826365776,39.557847317757,32.899389,37.936685,139.885096,42.7317541,44.093923,2174.5768779,2296.50276705,1904.1650739439253,110.681419,1918.5163985,2880.086346,1871.3208235,2402.355009,2119.6647107,2158.9726564,1844.3958182850467,86.978253,22.610304999999997,751.920707,101.08145860000084,262.6706225,58.78435089252336,0.04224000000000001
sagemaker,TheBloke/Llama-2-70B-GPTQ,ml.g5.12xlarge,4,gptq,50,True,59,5,33.33372399079303,190.57029242372883,79.705894,138.347928,1447.831918,189.86151040000001,314.0749225999985,10196.9208184,14350.1524533,7499.912103101695,1136.24834,6942.013948,14364.729889,6508.624279000001,14364.200463,8502.0132276,9475.2104241,6820.9847939322035,1110.3862900000001,52.096867,5869.235993,1785.7556118000002,5861.5819319,678.0600607966101,0.050112000000000004
sagemaker,meta-llama/Llama-2-13b-hf,ml.g5.12xlarge,4,none,50,True,492,20,295.63780706725936,88.36973810772359,35.584401,67.4027465,1417.404136,82.59212939999999,151.43972554999914,4257.5173152,4417.600937349999,3382.5173103536586,498.7942,3471.6094034999996,6388.645655,3309.5681545,4412.611221,4112.7733686,4129.494034,3171.521568426829,348.611126,144.06203649999998,2536.945296,159.33530979999998,465.3189811499999,209.8819643821138,0.060251
sagemaker,meta-llama/Llama-2-7b-hf,ml.p4d.24xlarge,8,none,50,True,72,1,42.713207003848275,25.771177527777777,21.490959,23.501151999999998,147.988506,25.7836675,26.05430475,1269.3989617,1298.4701784,1170.598124263889,297.449339,1173.0455695,1615.2262779999999,1171.761153,1614.616467,1268.0856822,1296.4905078000002,1169.5733498888887,295.977012,0.037886500000000004,0.089617,0.0571128,0.06490265,0.041267736111111,0.02536
